State,Vehicle_type,Value,Year
MD,Passenger Trucks,1385.2359,2014
MD,Single Unit Long-haul Trucks,285.25785,2014
MD,Intercity Buses,919.49702,2014
MD,Passenger Cars,220.612082,2014
MD,School Buses,632.82151,2014
MD,Transit Buses,465.190476,2014
MD,Motor Homes,49.349008,2014
MD,Refuse Trucks,394.883087,2014
MD,Single Unit Short-haul Trucks,5545.137,2014
ME,Combination Long-haul Trucks,5611.7754,2014
ME,Combination Short-haul Trucks,1457.3407,2014
ME,Light Commercial Trucks,77.83757,2014
ME,Passenger Trucks,394.35896,2014
ME,Single Unit Long-haul Trucks,225.127145,2014
ME,Intercity Buses,492.31845,2014
ME,Passenger Cars,50.91251,2014
ME,School Buses,345.39237,2014
ME,Transit Buses,290.98616,2014
ME,Motor Homes,17.449234,2014
ME,Refuse Trucks,285.1109,2014
ME,Single Unit Short-haul Trucks,1906.5963,2014
NC,Combination Long-haul Trucks,24648.7166,2014
NC,Combination Short-haul Trucks,11708.42833,2014
NC,Light Commercial Trucks,859.452567,2014
NC,Passenger Trucks,3709.9013,2014
NC,Single Unit Long-haul Trucks,321.272675,2014
NC,Intercity Buses,5699.835387,2014
NC,Passenger Cars,280.8792379,2014
NC,School Buses,1490.73819,2014
NC,Transit Buses,787.106592,2014
NC,Motor Homes,56.8437938,2014
NC,Refuse Trucks,476.690285,2014
NC,Single Unit Short-haul Trucks,4526.68692,2014
NH,Combination Long-haul Trucks,3394.4824,2014
NH,Combination Short-haul Trucks,77.53147,2014
NH,Light Commercial Trucks,89.00437,2014
NH,Passenger Trucks,321.8166,2014
NH,Single Unit Long-haul Trucks,191.37609,2014
NH,Intercity Buses,112.48094,2014
NH,Passenger Cars,42.149832,2014
NH,School Buses,130.67224,2014
NH,Transit Buses,394.5247,2014
NH,Motor Homes,38.05407,2014
NH,Refuse Trucks,236.41995,2014
NH,Single Unit Short-haul Trucks,1678.6121,2014
NJ,Combination Long-haul Trucks,11634.223,2014
NJ,Combination Short-haul Trucks,2044.8151,2014
NJ,Light Commercial Trucks,705.96586,2014
NJ,Passenger Trucks,742.32,2014
